City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,rio grande,-32.035,-52.0986,27.060000000000002,88,87,4.72,BR,1690058676
66,la bouilladisse,43.3962,5.5931,23.970000000000027,51,65,2.18,FR,1690058780
67,thompson,55.7435,-97.8558,18.090000000000032,48,75,5.66,CA,1690058489
68,cushing,35.9851,-96.767,31.640000000000043,42,40,0.0,US,1690058780
69,vorgashor,67.5833,63.95,16.460000000000036,92,100,1.68,RU,1690058780
70,hassi messaoud,31.6804,6.0729,38.920000000000016,7,0,2.57,DZ,1690058780
71,kupang,-10.1667,123.5833,23.480000000000018,76,84,4.13,ID,1690058780
72,aasiaat,68.7098,-52.8699,3.830000000000041,98,100,3.6,GL,1690058781
73,sola,-13.8833,167.55,24.07000000000005,93,100,5.54,VU,1690058781
74,ola,59.5833,151.2833,13.970000000000027,93,100,1.38,RU,1690058584
75,arteche,12.2645,125.4048,24.82000000000005,92,99,6.46,PH,1690058781
76,carnarvon,-24.8667,113.6333,14.890000000000043,40,0,7.44,AU,1690058781
77,college,64.8569,-147.8028,29.210000000000036,44,75,0.89,US,1690058781
78,susuman,62.7833,148.1667,13.080000000000041,94,100,2.39,RU,1690058782
79,keetmanshoop,-26.5833,18.1333,17.510000000000048,11,33,1.03,NA,1690058199
80,barabai,-2.5833,115.3833,23.200000000000045,90,92,0.77,ID,1690058782
81,keflavik,64.0049,-22.5624,12.240000000000009,76,100,3.09,IS,1690058213
82,kenora,49.8167,-94.4337,25.54000000000002,47,40,5.14,CA,1690058782
83,kalmunai,7.4167,81.8167,26.52000000000004,68,100,1.41,LK,1690058782
84,ugoofaaru,5.6667,73.0,28.02000000000004,79,95,5.71,MV,1690058782
85,natal,-5.795,-35.2094,27.360000000000014,74,40,7.72,BR,1690058783
86,nishinoomote,30.7333,131.0,26.850000000000023,85,100,2.62,JP,1690058783
87,klyuchi,52.2667,79.1667,18.379999999999995,57,63,3.16,RU,1690058783
88,east london,-33.0153,27.9116,18.200000000000045,73,22,5.23,ZA,1690058533
89,mikhaylov,54.2292,39.0186,16.77000000000004,67,100,2.78,RU,1690058783
90,palikir - national government center,6.9248,158.1611,25.410000000000025,89,100,2.06,FM,1690058740
